NOME_PRODUTO,CATEGORIA_REGULATORIA,NUMERO_REGISTRO_PRODUTO,DATA_VENCIMENTO_REGISTRO,CLASSE_TERAPEUTICA,EMPRESA_DETENTORA_REGISTRO,PRINCIPIO_ATIVO,BULA BAIXADA?,NAO TEM BULA!
TESTE CA 29298,SIMILAR,167250004,01/03/2028,4-DIMETILAMINOFENOL + ABÉTIMO,11111111000191 - EMPRESA DE TESTE LTDA. (VS01),ACICLOVIR +  AMOXICILINA +  CLARITROMICINA +  LANSOPRAZOL,,
teste vencimento,SIMILAR,167250015,01/01/2030,ABACAVIR,11111111000191 - EMPRESA DE TESTE LTDA. (VS01),ÁGUA,,
ATECTURA,NOVO,100681181,,ADRENÉRGICOS E OUTROS AGENTES PARA DOENÇA OBSTRUTIVA DAS VIAS AÉREAS,56994502000130 - NOVARTIS BIOCIENCIAS S.A,ACETATO DE INDACATEROL +  FUROATO DE MOMETASONA,,
BREZTRI AEROSPHERE,NOVO,116180302,01/08/2034,ADRENÉRGICOS E OUTROS AGENTES PARA DOENÇA OBSTRUTIVA DAS VIAS AÉREAS,60318797000100 - ASTRAZENECA DO BRASIL LTDA,BUDESONIDA +  BROMETO DE GLICOPIRRÔNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
BEVESPI AEROSPHERE®,NOVO,116180283,01/12/2030,"ADRENÉRGICOS, PARA INALAÇÃO",60318797000100 - ASTRAZENECA DO BRASIL LTDA,BROMETO DE GLICOPIRRÔNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
DUAKLIR GENUAIR,NOVO,110130302,01/08/2029,"ADRENÉRGICOS, PARA INALAÇÃO + AGENTES CONTRA DOENÇAS OBSTRUTIVAS DAS VIAS AÉREAS + SISTEMA RESPIRATÓR",44363661000157 - GLENMARK FARMACÊUTICA LTDA,BROMETO DE ACLIDÍNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
Duaklir Genuair,NOVO,116180274,01/08/2029,"ADRENÉRGICOS, PARA INALAÇÃO + AGENTES CONTRA DOENÇAS OBSTRUTIVAS DAS VIAS AÉREAS + SISTEMA RESPIRATÓR",60318797000100 - ASTRAZENECA DO BRASIL LTDA,BROMETO DE ACLIDÍNIO +  FUMARATO DE FORMOTEROL DI-HIDRATADO,,
ESPASMO DIMETILIV,SIMILAR,102351374,01/06/2031,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,57507378000365 - EMS S/A,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
ESPASMO FLATOL,SIMILAR,167730170,01/03/2028,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
LUFTAL,NOVO,173900009,01/03/2027,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,59557124000115 - RECKITT BENCKISER (BRASIL) LTDA,SIMETICONA,,
MYLICON,NOVO,112363354,01/11/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA,SIMETICONA,,
SIMETICONA,GENÉRICO,125680137,01/04/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,73856593000166 - PRATI DONADUZZI & CIA LTDA,SIMETICONA,,
simeticona,GENÉRICO,125680134,01/05/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,73856593000166 - PRATI DONADUZZI & CIA LTDA,DIMETICONA +  SIMETICONA,,
simeticona,GENÉRICO,113430133,01/07/2026,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,19570720000110 - HIPOLABOR FARMACEUTICA LTDA,SIMETICONA,,
simeticona + metilbrometo de homatropina,GENÉRICO,102351372,01/06/2031,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,57507378000365 - EMS S/A,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
simeticona + metilbrometo de homatropina,GENÉRICO,105830994,01/06/2031,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,45992062000165 - GERMED FARMACEUTICA LTDA,METILBROMETO DE HOMATROPINA +  SIMETICONA,,
